사용본거지 시군구,읍면동 (행정동),current_ev_count,total_vehicles,future_ev_count,adjusted_ev_demand,increase_amount,lat,lon,행정동만,search_address,grid_id
서울특별시 강남구,강남구 개포4동 ,79.0,8552.0,4276.0,4355.0,4276.0,37.482864637708445,127.07520286222606,개포4동,개포4동,GRID_018_067
서울특별시 강남구,강남구 논현2동 ,111.0,10196.0,5098.0,5209.0,5098.0,37.51588973774217,127.02023846047928,논현2동,논현2동,GRID_025_057
서울특별시 강남구,강남구 대치4동 ,3216.0,13749.0,6874.5,10090.5,6874.5,37.4981828923879,127.07796227681962,대치4동,대치4동,GRID_021_067
서울특별시 강남구,강남구 도곡2동 ,151.0,13523.0,6761.5,6912.5,6761.5,37.492649668932174,127.0535135087495,도곡2동,도곡2동,GRID_020_063
서울특별시 강남구,강남구 수서동 ,58.0,5209.0,2604.5,2662.5,2604.5,37.48693289059973,127.10854157896772,수서동,수서동,GRID_019_072
서울특별시 강남구,강남구 압구정동 ,122.0,12258.0,6129.0,6251.0,6129.0,37.53278464590568,127.02733718819263,압구정동,압구정동,GRID_029_058
서울특별시 강남구,강남구 일원2동 ,117.0,6205.0,3102.5,3219.5,3102.5,37.482864637708445,127.07520286222606,일원2동,일원2동,GRID_018_067
서울특별시 강남구,강남구 일원본동 ,69.0,8307.0,4153.5,4222.5,4153.5,37.48693289059973,127.10854157896772,일원본동,일원본동,GRID_019_072
서울특별시 강남구,강남구 청담동 ,167.0,11873.0,5936.5,6103.5,5936.5,37.52284437668651,127.03953579045114,청담동,청담동,GRID_027_060
서울특별시 강동구,강동구 강일동 ,161.0,12721.0,6360.5,6521.5,6360.5,37.57970769332631,127.17628471333407,강일동,강일동,GRID_039_085
서울특별시 강동구,강동구 길동 ,207.0,15918.0,7959.0,8166.0,7959.0,37.53973285688434,127.14769557447565,길동,길동,GRID_031_079
서울특별시 강북구,강북구 미아동 ,33.0,4767.0,2383.5,2416.5,2383.5,37.618878642514446,127.03643270244766,미아동,미아동,GRID_048_060
서울특별시 강북구,강북구 송천동 ,33.0,5809.0,2904.5,2937.5,2904.5,37.618878642514446,127.03643270244766,송천동,송천동,GRID_048_060
서울특별시 강북구,강북구 우이동 ,55.0,5875.0,2937.5,2992.5,2937.5,37.661822432457015,127.01386651529648,우이동,우이동,GRID_058_056
서울특별시 강북구,강북구 인수동 ,80.0,7514.0,3757.0,3837.0,3757.0,37.637354382902714,127.02162701163576,인수동,인수동,GRID_052_057
서울특별시 강서구,강서구 공항동 ,202.0,11520.0,5760.0,5962.0,5760.0,37.56457246586312,126.81627161703646,공항동,공항동,GRID_036_020
서울특별시 관악구,관악구 미성동 ,48.0,8366.0,4183.0,4231.0,4183.0,37.481848696091205,126.93357748697147,미성동,미성동,GRID_018_041
서울특별시 관악구,관악구 청룡동 ,107.0,7592.0,3796.0,3903.0,3796.0,37.491694806160595,126.9596011537373,청룡동,청룡동,GRID_020_046
서울특별시 광진구,광진구 광장동 ,71.0,11677.0,5838.5,5909.5,5838.5,37.5569395282115,127.11290815574748,광장동,광장동,GRID_034_073
서울특별시 광진구,광진구 군자동 ,36.0,5160.0,2580.0,2616.0,2580.0,37.55547317196105,127.07820053971705,군자동,군자동,GRID_034_067
서울특별시 광진구,광진구 능동 ,22.0,3050.0,1525.0,1547.0,1525.0,37.552307971260234,127.08215322285284,능동,능동,GRID_033_068
서울특별시 노원구,노원구 상계9동 ,28.0,5793.0,2896.5,2924.5,2896.5,37.682298026698724,127.07731091633795,상계9동,상계9동,GRID_062_067
서울특별시 동대문구,동대문구 용신동 ,92.0,10209.0,5104.5,5196.5,5104.5,37.57846126088922,127.02731840164242,용신동,용신동,GRID_039_058
서울특별시 동대문구,동대문구 청량리동 ,34.0,5086.0,2543.0,2577.0,2543.0,37.58782049091827,127.05250916032895,청량리동,청량리동,GRID_041_062
서울특별시 동작구,동작구 상도2동 ,60.0,8192.0,4096.0,4156.0,4096.0,37.49879591496499,126.95071228629939,상도2동,상도2동,GRID_021_044
서울특별시 동작구,동작구 상도3동 ,40.0,5688.0,2844.0,2884.0,2844.0,37.498877848371215,126.95056872116727,상도3동,상도3동,GRID_021_044
서울특별시 마포구,마포구 노고산동 ,0.0,1.0,0.5,0.5,0.5,37.5562477681518,126.94275915736607,노고산동,노고산동,GRID_034_043
서울특별시 마포구,마포구 연남동 ,40.0,4080.0,2040.0,2080.0,2040.0,37.5645037742722,126.92666224676788,연남동,연남동,GRID_036_040
서울특별시 마포구,마포구 염리동 ,91.0,5236.0,2618.0,2709.0,2618.0,37.55487109073978,126.94832224372428,염리동,염리동,GRID_034_044
서울특별시 서초구,서초구 반포3동 ,68.0,7828.0,3914.0,3982.0,3914.0,37.5171759390049,127.01678340652336,반포3동,반포3동,GRID_026_056
서울특별시 서초구,서초구 방배본동 ,61.0,7910.0,3955.0,4016.0,3955.0,37.49419167046039,126.99330411178794,방배본동,방배본동,GRID_020_052
서울특별시 서초구,서초구 서초4동 ,118.0,11805.0,5902.5,6020.5,5902.5,37.4903168762327,127.00257824773777,서초4동,서초4동,GRID_020_054
서울특별시 서초구,서초구 양재2동 ,225.0,12982.0,6491.0,6716.0,6491.0,37.48460191342369,127.03782485044496,양재2동,양재2동,GRID_018_060
서울특별시 성동구,성동구 금호4가동 ,49.0,4525.0,2262.5,2311.5,2262.5,37.5467669873146,127.03100125702782,금호4가동,금호4가동,GRID_032_059
