grid_id,center_lat,center_lon,demand_score,supply_score,commercial_count,station_count,supply_demand_ratio,population_density,accessibility_score,transport_score,imbalance_score,is_underserved,priority_level,high_demand,high_supply,public_parking_count,avg_hourly_load
GRID_000_000,37.40225,126.7028,0.0,129.23721,0,1,0.0,0,0.0,68.65794719463514,0.0,False,Low,False,False,1,30.504971409662005
GRID_000_001,37.40225,126.7084,0.0,129.23721,0,1,0.0,0,0.0,60.18847332140786,0.0,False,Low,False,False,0,30.504971409662005
GRID_000_002,37.40225,126.714,0.0,129.23721,0,1,0.0,0,0.0,45.08617949067855,0.0,False,Low,False,False,0,30.504971409662005
GRID_000_003,37.40225,126.7196,0.0,129.23721,0,0,0.0,0,0.0,64.05792462350736,0.0,False,Low,False,False,0,30.504971409662005
GRID_000_004,37.40225,126.7252,0.0,129.23721,0,0,0.0,0,0.0,72.32517774105908,0.0,False,Low,False,False,0,30.504971409662005
GRID_000_005,37.40225,126.7308,0.0,129.23721,0,1,0.0,0,0.0,59.10130731352373,0.0,False,Low,False,False,0,30.504971409662005
GRID_000_006,37.40225,126.7364,0.0,129.23721,0,0,0.0,0,0.0,30.05906222182677,0.0,False,Low,False,False,0,30.504971409662005
GRID_000_007,37.40225,126.742,0.0,129.23721,0,0,0.0,0,0.0,41.84348175778288,0.0,False,Low,False,False,0,30.504971409662005
GRID_000_008,37.40225,126.7476,0.0,129.23721,0,0,0.0,0,0.0,43.714101827558,0.0,False,Low,False,False,0,30.504971409662005
GRID_000_009,37.40225,126.7532,0.0,129.23721,0,1,0.0,0,0.0,66.36764693948487,0.0,False,Low,False,False,0,30.504971409662005
GRID_000_010,37.40225,126.7588,0.0,129.23721,0,0,0.0,0,0.0,72.46933658870847,0.0,False,Low,False,False,0,30.504971409662005
GRID_000_011,37.40225,126.7644,0.0,129.23721,0,1,0.0,0,0.0,28.96024258138933,0.0,False,Low,False,False,0,30.504971409662005
GRID_000_012,37.40225,126.77,0.0,129.23721,0,1,0.0,0,0.0,77.92511330164794,0.0,False,Low,False,False,0,30.504971409662005
GRID_000_013,37.40225,126.7756,0.0,129.23721,0,0,0.0,0,0.0,40.4205024617557,0.0,False,Low,False,False,0,30.504971409662005
GRID_000_014,37.40225,126.7812,0.0,129.23721,0,0,0.0,0,0.0,75.97883523236416,0.0,False,Low,False,False,0,30.504971409662005
GRID_000_015,37.40225,126.7868,0.0,129.23721,0,1,0.0,0,0.0,52.11546816964217,0.0,False,Low,False,False,0,30.504971409662005
GRID_000_016,37.40225,126.7924,0.0,129.23721,0,1,0.0,0,0.0,60.55245404021865,0.0,False,Low,False,False,0,30.504971409662005
GRID_000_017,37.40225,126.79800000000002,0.0,129.23721,0,1,0.0,0,0.0,36.46890273760415,0.0,False,Low,False,False,0,30.504971409662005
GRID_000_018,37.40225,126.80360000000002,0.0,27.15053,0,1,0.0,0,0.0,38.15018161417185,0.0,False,Low,False,False,0,30.504971409662005
GRID_000_019,37.40225,126.80920000000002,0.0,27.15053,0,0,0.0,0,0.0,59.01722662525378,0.0,False,Low,False,False,0,30.504971409662005
GRID_000_020,37.40225,126.81480000000002,0.0,27.15053,0,0,0.0,0,0.0,34.68994537071602,0.0,False,Low,False,False,0,30.504971409662005
GRID_000_021,37.40225,126.82040000000002,0.0,27.15053,0,1,0.0,0,0.0,55.69878729711933,0.0,False,Low,False,False,0,30.504971409662005
GRID_000_022,37.40225,126.82600000000002,0.0,27.15053,0,0,0.0,0,0.0,48.11531007142992,0.0,False,Low,False,False,0,30.504971409662005
GRID_000_023,37.40225,126.83160000000002,0.0,27.15053,0,0,0.0,0,0.0,48.31259582444248,0.0,False,Low,False,False,0,30.504971409662005
GRID_000_024,37.40225,126.83720000000002,0.0,27.15053,0,0,0.0,0,0.0,56.56660321334952,0.0,False,Low,False,False,0,30.504971409662005
GRID_000_025,37.40225,126.84280000000004,0.0,27.15053,0,0,0.0,0,0.0,72.31793270855911,0.0,False,Low,False,False,0,30.504971409662005
GRID_000_026,37.40225,126.84840000000004,0.0,27.15053,0,1,0.0,0,0.0,61.5107114175435,0.0,False,Low,False,False,0,30.504971409662005
GRID_000_027,37.40225,126.85400000000004,0.0,27.15053,0,1,0.0,0,0.0,26.049132347683035,0.0,False,Low,False,False,0,30.504971409662005
GRID_000_028,37.40225,126.85960000000004,0.0,27.15053,0,0,0.0,0,0.0,35.916884503083025,0.0,False,Low,False,False,0,30.504971409662005
GRID_000_029,37.40225,126.86520000000004,0.0,27.15053,0,0,0.0,0,0.0,54.23533038029351,0.0,False,Low,False,False,0,30.504971409662005
GRID_000_030,37.40225,126.87080000000005,0.0,27.15053,0,1,0.0,0,0.0,52.55404397655149,0.0,False,Low,False,False,0,30.504971409662005
GRID_000_031,37.40225,126.87640000000005,0.0,27.15053,0,0,0.0,0,0.0,49.20883875989738,0.0,False,Low,False,False,0,30.504971409662005
GRID_000_032,37.40225,126.88200000000003,0.0,27.15053,0,1,0.0,0,0.0,59.90165771206808,0.0,False,Low,False,False,0,30.504971409662005
