grid_id,center_lat,center_lon,demand_score,supply_score,commercial_count,station_count,supply_demand_ratio,population_density,accessibility_score,transport_score,charging_demand_component,commercial_demand_component,ev_registration_factor,time_pattern_factor,imbalance_score,is_underserved,priority_level,high_demand,high_supply,optimization_score
GRID_036_049,37.56425,126.97720000000004,72.39,70.84313,2098,9,1.0218351447769176,31470,96.42,100.0,45.55,50.0,1.1,1.1,1.0076120013145309,False,Medium,True,False,8515.950396925435
GRID_035_049,37.55975,126.97720000000004,70.39,70.84313,2085,7,0.9936037552265125,31275,89.8,88.88929185460331,45.55,50.0,1.1,1.1,0.9797735705557372,False,Low,True,False,8180.71374883732
GRID_037_049,37.56875,126.97720000000004,72.39,70.84313,1425,5,1.0218351447769176,21375,96.42,87.93398523062908,45.55,50.0,1.1,1.1,1.0076120013145309,False,Medium,True,False,7753.7268555234305
GRID_037_050,37.56875,126.98280000000004,71.07,175.63305,2032,8,0.4046504914650175,30480,92.05,91.9940234225085,45.55,50.0,1.1,1.1,0.4023595810636797,False,Low,True,True,7302.473423449119
GRID_038_049,37.57325,126.97720000000004,70.45,70.84313,997,6,0.9944506969130246,14955,90.02,88.2272011234924,45.55,50.0,1.1,1.1,0.980608723478501,False,Low,True,False,7143.587680860793
GRID_036_050,37.56425,126.98280000000004,71.07,175.63305,1835,6,0.4046504914650175,27525,92.05,94.03465871603552,45.55,50.0,1.1,1.1,0.4023595810636797,False,Low,True,True,7135.081873619851
GRID_039_048,37.57775,126.97160000000004,70.83,70.84313,639,11,0.9998146609276016,9585,91.28,94.09932857313296,45.55,50.0,1.1,1.1,0.9858980253226716,False,Low,True,False,6901.294542512443
GRID_037_051,37.56875,126.98840000000006,68.64,175.63305,1927,8,0.3908148267082989,28905,84.04,82.12834545505268,45.55,50.0,1.1,1.1,0.3886022462953564,False,Low,True,True,6878.784180866842
GRID_034_049,37.55525,126.97720000000004,68.35,70.84313,1020,6,0.964807737885099,15300,83.08,79.29724899765002,45.55,50.0,1.1,1.1,0.9513783711817676,False,Low,True,False,6854.055150861491
GRID_039_050,37.57775,126.98280000000004,70.66,70.84313,706,13,0.997414992815817,10590,90.72,83.01494786157102,45.55,50.0,1.1,1.1,0.9835317587081742,False,Low,True,False,6836.363959125201
GRID_036_048,37.56425,126.97160000000004,70.39,70.84313,689,5,0.9936037552265125,10335,89.82,86.23965173909528,45.55,50.0,1.1,1.1,0.9797735705557372,False,Low,True,False,6823.726117939628
GRID_039_049,37.57775,126.97720000000004,72.49,70.84313,370,9,1.023246714254438,5550,96.76,94.23858549841196,45.55,50.0,1.1,1.1,1.0090039228524703,False,Medium,True,False,6821.7749657036065
GRID_035_048,37.55975,126.97160000000004,69.25,70.84313,800,13,0.9775118631827814,12000,86.05,84.55724633778053,45.55,50.0,1.1,1.1,0.9639056650232248,False,Low,True,False,6792.078143261509
GRID_038_048,37.57325,126.97160000000004,69.58,70.84313,686,7,0.9821700424585984,10290,87.15,90.51633975448698,45.55,50.0,1.1,1.1,0.9684990060984258,False,Low,True,False,6778.046222844084
GRID_044_046,37.60025,126.96040000000004,61.56,31.54303,122,3,1.951619739765013,1830,60.61,59.6017475062721,45.55,50.0,1.1,1.1,1.8916493024773664,False,Medium,True,False,6723.3534452860495
GRID_037_048,37.56875,126.97160000000004,70.39,70.84313,512,7,0.9936037552265125,7680,89.82,92.02440245952305,45.55,50.0,1.1,1.1,0.9797735705557372,False,Low,True,False,6712.841499309778
GRID_038_050,37.57325,126.98280000000004,69.71,175.63305,1573,10,0.3969070741526153,23595,87.58,85.95805928966594,45.55,50.0,1.1,1.1,0.3946600027571283,False,Low,True,True,6678.857904336769
GRID_040_050,37.58225,126.98280000000004,70.63,70.84313,343,9,0.996991521972561,5145,90.61,94.41332871085731,45.55,50.0,1.1,1.1,0.9831141822467924,False,Low,True,False,6600.967364156682
GRID_038_051,37.57325,126.98840000000006,67.85,175.63305,1810,11,0.3863168122400652,27150,81.4,72.02500961142896,45.55,50.0,1.1,1.1,0.3841296971319919,False,Low,True,True,6592.549428260867
GRID_040_049,37.58225,126.97720000000004,72.4,70.84313,180,9,1.0219763017246697,2700,96.46,90.37614497410246,45.55,50.0,1.1,1.1,1.0077511934683248,False,Medium,True,False,6592.466023098295
GRID_031_044,37.54175,126.94920000000003,56.24,32.587030000000006,929,6,1.7258400044434854,13935,43.04,44.25027827912416,45.55,50.0,1.1,1.1,1.674455883714636,False,Medium,True,False,6549.4976182963655
GRID_040_048,37.58225,126.97160000000004,70.8,70.84313,338,5,0.9993911900843454,5070,91.17,82.68779932363381,45.55,50.0,1.1,1.1,0.9854804488612898,False,Low,True,False,6496.9027550403425
GRID_045_046,37.60475,126.96040000000004,59.91,31.54303,132,7,1.899310243816145,1980,55.17,51.92972551396489,45.55,50.0,1.1,1.1,1.8409472012901071,False,Medium,True,False,6437.819690727729
GRID_031_045,37.54175,126.95480000000003,58.08,32.587030000000006,552,6,1.782304186665676,8280,49.11,44.46835733431687,45.55,50.0,1.1,1.1,1.7292389353866653,False,Medium,True,False,6433.044286729999
